i    j    k    brain       skull       skin        outside     
2    14   9    0.945801    0.053711    0.000488    0.000000    
2    14   8    0.514648    0.250977    0.187988    0.046387    
2    14   10   1.000000    0.000000    0.000000    0.000000    
2    14   12   1.000000    0.000000    0.000000    0.000000    
2    14   14   1.000000    0.000000    0.000000    0.000000    
2    14   6    0.000000    0.000000    0.012207    0.987793    
2    14   18   1.000000    0.000000    0.000000    0.000000    
2    14   20   1.000000    0.000000    0.000000    0.000000    
2    14   16   1.000000    0.000000    0.000000    0.000000    
2    14   19   1.000000    0.000000    0.000000    0.000000    
2    14   11   1.000000    0.000000    0.000000    0.000000    
2    14   15   1.000000    0.000000    0.000000    0.000000    
2    14   21   1.000000    0.000000    0.000000    0.000000    
2    14   17   1.000000    0.000000    0.000000    0.000000    
2    14   13   1.000000    0.000000    0.000000    0.000000    
2    14   25   0.000000    0.000000    0.013672    0.986328    
2    14   23   0.510254    0.269531    0.176270    0.043945    
2    14   24   0.055664    0.165039    0.264160    0.515137    
2    15   6    0.000000    0.000000    0.033203    0.966797    
2    15   7    0.075684    0.184570    0.283203    0.456543    
2    15   8    0.584473    0.261719    0.134766    0.019043    
2    15   9    0.975098    0.024902    0.000000    0.000000    
2    15   10   1.000000    0.000000    0.000000    0.000000    
2    15   11   1.000000    0.000000    0.000000    0.000000    
2    15   12   1.000000    0.000000    0.000000    0.000000    
2    15   13   1.000000    0.000000    0.000000    0.000000    
2    15   14   1.000000    0.000000    0.000000    0.000000    
2    15   15   1.000000    0.000000    0.000000    0.000000    
2    15   16   1.000000    0.000000    0.000000    0.000000    
2    15   17   1.000000    0.000000    0.000000    0.000000    
2    15   18   1.000000    0.000000    0.000000    0.000000    
2    15   19   1.000000    0.000000    0.000000    0.000000    
2    15   20   1.000000    0.000000    0.000000    0.000000    
2    15   21   1.000000    0.000000    0.000000    0.000000    
2    15   22   0.973633    0.026367    0.000000    0.000000    
2    15   23   0.575684    0.259766    0.142090    0.022461    
2    15   24   0.078613    0.194824    0.257324    0.469238    
2    15   25   0.000000    0.000000    0.036621    0.963379    
2    14   22   0.940918    0.059082    0.000000    0.000000    
2    16   10   1.000000    0.000000    0.000000    0.000000    
2    16   6    0.000000    0.000000    0.030762    0.969238    
2    16   13   1.000000    0.000000    0.000000    0.000000    
2    16   14   1.000000    0.000000    0.000000    0.000000    
2    16   11   1.000000    0.000000    0.000000    0.000000    
